Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,path:ppu00561,0.6438001434625162,1.1353136286046626,0.3574468085106383,0.5900524464027357,1.0,3/5,18.10%,glpK;plsY;plsX
prerank,path:ppu00400,0.5116992783404356,1.131597448511206,0.33760683760683763,0.5793199654044057,1.0,7/12,24.40%,trpB;trpA;aroC;pheA;aroB;trpD;hisC
prerank,path:ppu00650,0.5771595925510149,1.122945629013745,0.3436807095343681,0.578940975311603,1.0,1/8,1.95%,ilvI
prerank,path:ppu01240,0.34502824311132146,1.1206786207304946,0.22332506203473945,0.5663884556847861,1.0,34/90,26.71%,bioC;cyoE;bioF;ilvE;nadA;pncB;bioA;thiI;pabB;moeA;bioD;pyrF;ubiD;pdxB;pyrC;pdxY;nadD;carB;bioH;hemF;carA;purB;adk;folB;pdxA;pyrD;hemA;metK;pdxJ;ribD;folK;bioB;thiL;ubiH
prerank,path:ppu03070,0.5035684125612595,1.1189055635193579,0.31786542923433875,0.5533743989945489,1.0,5/14,20.54%,secD;secF;yajC;secA;secY
prerank,path:ppu03060,0.4992873186466669,1.1022502721282779,0.33175355450236965,0.568862931062063,1.0,5/13,20.54%,secD;secF;yajC;secA;secY
prerank,path:ppu00640,0.5097075827763855,1.1019387376947936,0.3738532110091743,0.5545262604096721,1.0,4/12,13.98%,aceA;accC;accB;acnB
prerank,path:ppu00130,0.5972332295338781,1.0991432746808862,0.37367303609341823,0.5445455066657223,1.0,4/6,38.51%,ubiD;ubiH;ubiE;ubiC
prerank,path:ppu00300,0.5450382585503265,1.0972921808962366,0.40274599542334094,0.5338603182954097,1.0,3/9,4.53%,murF;murE;aspC
prerank,path:ppu02030,-0.540641372299396,-1.0822593131159384,0.3960216998191682,0.742917952538044,1.0,3/10,22.05%,fliM;fliN;cheA
prerank,path:ppu00230,0.387354137631824,1.0812288688709843,0.3155339805825243,0.5485094138064884,1.0,8/40,12.47%,ushA;nrdA;prs;purD;nrdB;purL;purM;apt
prerank,path:ppu00020,0.5038563929232898,1.0761277913404121,0.38949671772428884,0.5444279513725785,1.0,2/12,13.98%,icd;acnB
prerank,path:ppu03430,0.4559083653574113,1.0642041623888399,0.3930232558139535,0.5522911702540918,1.0,3/16,7.01%,recJ;uvrD;mutS
prerank,path:ppu02020,-0.3989300574647793,-1.0528276875831575,0.38564273789649417,0.7535498235934546,1.0,2/35,1.42%,fecI;csrA
prerank,path:ppu00480,0.5389969754278223,1.0475198264896264,0.4276315789473684,0.5675648368466992,1.0,2/8,6.74%,icd;pepN
prerank,path:ppu00520,0.4648729196733385,1.0372528064384827,0.4066666666666667,0.5732807225218115,1.0,6/14,17.17%,murB;glmU;gph;glmS;murA;pgm
prerank,path:ppu00362,-0.582414419036374,-1.024242920793229,0.48188405797101447,0.7631006856291521,1.0,2/5,28.17%,paaH;paaF
prerank,path:ppu00521,0.5487455984132872,1.0191814599882691,0.4743083003952569,0.5893177178344933,1.0,2/6,17.17%,suhB;pgm
prerank,path:ppu00730,0.48323015579407796,0.9961439621534756,0.44966442953020136,0.6155632854892106,1.0,4/9,26.26%,thiI;dxs;adk;thiL
prerank,path:ppu01232,0.37957217488658856,0.9818653575293986,0.4930875576036866,0.6257721732649393,1.0,3/23,5.06%,ushA;nrdA;nrdB
prerank,path:ppu01120,-0.31061329317444114,-0.9781718935529787,0.5047619047619047,0.8124124720655528,1.0,25/98,18.81%,dapB;pta;dapE;cysD;fruA;eno;cysK;cysQ;gapA;cysH;pgk;cysI;cysG;frmA;tal;paaZ;patD;adhP;lysC;asd;paaH;dapD;tpiA;paaD;pyk
prerank,path:ppu00860,0.43504147198834975,0.9589165618317564,0.503448275862069,0.6521346299929941,1.0,5/14,29.33%,cyoE;hemF;hemA;hemL;gltX
prerank,path:ppu03440,0.3844203935323268,0.9506138019508348,0.497787610619469,0.6530522162304354,1.0,11/21,32.21%,recJ;recG;recR;holB;ruvA;ruvC;recB;recC;ruvB;recD;dnaX
prerank,path:ppu00620,0.39233623458823,0.9447417436081769,0.5216400911161732,0.6505043158918177,1.0,5/19,12.60%,leuA;ppsA;accC;accB;maeB
prerank,path:ppu00330,-0.4517840836473259,-0.9171674432176046,0.5842696629213483,0.8917314036394595,1.0,5/10,23.20%,speB;creA;patD;astE;speA
prerank,path:ppu00680,-0.4376164779275911,-0.9145964858737913,0.5747330960854092,0.8440240627484366,1.0,3/11,12.47%,pta;eno;frmA
prerank,path:ppu00500,-0.4148554979154499,-0.8926676052601551,0.5963636363636363,0.837969564754709,1.0,4/13,17.04%,galU;glgP;glgB;glgA
prerank,path:ppu00052,-0.5101858227082094,-0.8925179546927499,0.6036217303822937,0.7942422833715128,1.0,1/5,9.09%,galU
prerank,path:ppu00710,-0.4374295825452496,-0.8920793674605452,0.6054054054054054,0.7550665105884856,1.0,4/10,18.06%,gapA;pgk;tal;tpiA
prerank,path:ppu00970,0.36172678798977864,0.8919155002417531,0.6058558558558559,0.7240583170610791,1.0,13/22,43.39%,pheS;lysS;tyrS;trpS;metG;gltX;selA;glyQ;alaS;serS;thrS;aspS;proS
prerank,path:ppu04122,0.43612271347721704,0.8895491943090615,0.6140350877192983,0.7145749319409668,1.0,4/10,19.65%,thiI;moeB;mnmA;tusD
prerank,path:ppu01200,0.3043910954481061,0.8820152461807444,0.6432160804020101,0.7141791008422602,1.0,10/47,13.98%,aceA;prs;ppsA;icd;accC;metF;accB;serB;maeB;acnB
prerank,path:ppu00740,-0.4543599673224503,-0.8508305454002542,0.6647058823529411,0.785247571413369,1.0,4/7,26.89%,nudF;ribA;ribB;ssuE
