Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,path:ppu00190,-0.8221755204497254,-2.1134592264909227,0.0,0.0,0.0,22/28,13.35%,nuoJ;atpG;nuoA;nuoI;atpF;nuoC;atpB;nuoB;sdhD;nuoE;atpD;nuoM;sdhC;nuoF;nuoL;atpA;nuoN;nuoG;atpE;nuoH;sdhA;cyoB
prerank,path:ppu00020,-0.8434733440757752,-1.7881368391208328,0.0017211703958691911,0.05005468766122542,0.069,11/12,15.44%,sucA;icd;sucC;mdh;sdhD;sdhC;aceE;sucD;acnB;sdhA;sdhB
prerank,path:ppu00450,0.8856925915521945,1.6694950431293187,0.030973451327433628,0.7356812522234081,0.628,3/7,3.99%,selA;metE;metB
prerank,path:ppu00340,-0.7618132594970917,-1.6263394253593073,0.020689655172413793,0.31592958705656565,0.458,8/11,20.05%,hisF;hisA;hisH;hutU;hisB;hisG;hutH;hisC
prerank,path:ppu01210,-0.6734399446108044,-1.5880507128173975,0.019538188277087035,0.3302309263883443,0.583,8/20,12.38%,argA;argC;sucA;icd;argB;aceE;acnB;alaA
prerank,path:ppu00720,-0.6805821942185366,-1.5754738152867958,0.025423728813559324,0.2930474441257197,0.627,13/17,18.63%,icd;sucC;mdh;sdhD;accB;sdhC;sucD;pta;acnB;sdhA;sdhB;ppc;accA
prerank,path:ppu01110,-0.4513797645678728,-1.5592826512205518,0.0018726591760299626,0.28255979528241537,0.681,72/184,22.01%,argA;fabG;argC;argH;argG;carB;sucA;icd;sucC;mdh;hisF;dapB;thrB;ansA;rpe;sdhD;accB;fbp;argB;aspC;cysD;hisA;sdhC;gltB;aceE;sucD;hisH;ispF;pyk;gltD;ispE;hemN;plsY;purF;dxs;aroE;acnB;ubiD;carA;ribF;alaA;hisB;hisG;sdhA;ispB;trpA;surE;trpB;thrC;sdhB;adk;eno;katG;tyrB;ubiE;pssA;leuD;accA;hemA;ilvI;pheA;hisC;ispA;cysK;argF;proB;ushA;aroC;ispG;pgm;ndk;rpiA
prerank,path:ppu00640,-0.6983071753135609,-1.5412853681976055,0.04671280276816609,0.28454093319850593,0.735,5/12,10.47%,sucC;accB;sucD;pta;acnB
prerank,path:ppu02040,-0.57326723348201,-1.5307085667186562,0.018739352640545145,0.2720504777431537,0.765,15/34,26.57%,fliN;flgD;flgJ;flgE;fliL;fliP;fliM;fliK;rpoN;flgK;fliH;flgH;fliJ;rpoD;flgB
prerank,path:ppu01100,-0.4081986094970633,-1.5280130460125256,0.0,0.24745650783168585,0.768,138/400,22.01%,argA;rbsK;nuoJ;fabG;argC;argH;argG;atpG;nrdA;nuoA;carB;nuoI;sucA;icd;sucC;mdh;atpF;nadD;nrdB;nuoC;atpB;nuoB;glmS;hisF;dapB;thrB;glmU;ansA;gph;rpe;pdxA;sdhD;accB;nuoE;fbp;argB;atpD;aspC;cysD;hisA;nuoM;creA;sdhC;apaH;gltB;murC;aceE;nuoF;sucD;kdsC;hisH;ispF;pyk;nuoL;gltD;sthA;ispE;hemN;plsY;atpA;pta;pgsA;purF;pepA;hutU;nuoN;gloB;dxs;fabB;aroE;nuoG;acnB;pepN;ubiD;carA;atpE;ribF;moaA;nudF;nuoH;dadX;queC;alaA;hisB;mazG;hisG;sdhA;cyoB;trpA;surE;murD;trpB;fabF;thrC;dut;ppx;sdhB;ppc;adk;eno;diaA;katG;tyrB;birA;mraY;lpxD;ubiE;pssA;leuD;dapD;folM;dacA;accA;murG;hemA;hutH;ilvI;pdxH;lpxH;pheA;dacB;hisC;ispA;fabA;cysH;cysK;argF;proB;thyA;ushA;coaD;folC;aroC;ispG;pgm;ndk;queF;rpiA
prerank,path:ppu00071,0.7993639721243566,1.5253463153991687,0.07972665148063782,0.8554853186656814,0.893,3/6,10.43%,adhP;frmA;fadE
prerank,path:ppu01230,-0.4978562872316903,-1.5024079288990122,0.018975332068311195,0.2702953133706173,0.82,45/72,27.99%,argA;argC;argH;argG;icd;hisF;dapB;thrB;rpe;argB;aspC;hisA;gltB;hisH;pyk;gltD;aroE;acnB;alaA;hisB;hisG;trpA;trpB;thrC;eno;tyrB;leuD;dapD;ilvI;pheA;hisC;cysK;argF;proB;aroC;rpiA;serA;aroK;ilvD;prs;cysM;tpiA;metH;arcB;aroB
prerank,path:ppu00480,-0.7449232199864625,-1.4908031418397671,0.05263157894736842,0.26628857449997845,0.844,3/8,10.51%,icd;pepA;pepN
prerank,path:ppu00240,-0.6093404105246738,-1.4752511673267914,0.05605786618444846,0.2756258125760984,0.886,11/21,24.13%,nrdA;carB;nrdB;carA;mazG;surE;dut;thyA;ushA;ndk;cmk
prerank,path:ppu01503,-0.7694498347494683,-1.4674848705685852,0.052823315118397086,0.26942523188679574,0.904,4/7,15.22%,cpxR;ppiA;phoQ;amiC
prerank,path:ppu00061,-0.699797435501387,-1.4492539296920848,0.08869565217391304,0.28156922632437004,0.921,6/10,20.14%,fabG;accB;fabB;fabF;accA;fabA
prerank,path:ppu00400,-0.6684397977859446,-1.4463162986994467,0.06368330464716007,0.26834513073446564,0.926,9/12,27.99%,aroE;trpA;trpB;tyrB;pheA;hisC;aroC;aroK;aroB
prerank,path:ppu00970,0.6023051474806633,1.4211684335409722,0.09761904761904762,0.905253172062137,0.967,1/22,0.13%,selA
prerank,path:ppu01200,-0.500009935739469,-1.3966760565138592,0.07543859649122807,0.344776038549642,0.976,18/47,16.73%,sucA;icd;sucC;mdh;rpe;sdhD;accB;fbp;sdhC;aceE;sucD;pyk;pta;acnB;sdhA;sdhB;ppc;eno
prerank,path:ppu00900,-0.6907840931792346,-1.3895276269430892,0.0979381443298969,0.3393317786903853,0.981,7/9,23.43%,ispF;ispE;dxs;ispB;ispA;ispG;ispD
prerank,path:ppu00030,-0.6403134614399799,-1.3883535283304353,0.10645724258289703,0.3228635697628826,0.981,3/14,5.06%,rbsK;rpe;fbp
prerank,path:ppu00250,-0.5968252569744783,-1.3867867224930306,0.08777969018932874,0.3093605508084759,0.981,10/18,12.38%,argH;argG;carB;glmS;ansA;gltB;gltD;purF;carA;alaA
prerank,path:ppu03010,-0.4829922923631641,-1.3820664417964812,0.05779334500875657,0.3030583816579648,0.982,28/54,32.74%,rpsD;rpsK;rplF;rpsM;rpsG;rplX;rplW;rplD;rplC;rpsE;rplB;rpmF;rplQ;rpsP;rpsS;rpsH;rplM;rpsT;rplK;rpsF;rpsL;rpsJ;rpsB;rpsA;rplR;rplJ;rpmI;rplO
prerank,path:ppu00660,-0.752848322989944,-1.3616196467813213,0.10142348754448399,0.32521617103824013,0.989,4/6,19.21%,sucC;sucD;leuD;ilvI
prerank,path:ppu00710,-0.6667075515759764,-1.3504486745307793,0.12456140350877193,0.33141285525873926,0.994,3/10,5.06%,mdh;rpe;fbp
prerank,path:ppu00670,0.6821250756293991,1.3446784141192782,0.1811764705882353,0.9031962345729688,0.984,3/9,5.50%,metF;betB;metK
prerank,path:ppu00910,0.6893451850403213,1.3219150007175284,0.19545454545454546,0.780351914183291,0.989,2/7,1.73%,glnA;arcC
prerank,path:ppu00650,-0.6687059438241625,-1.3199586843527311,0.15357142857142858,0.3772048907547795,0.998,5/8,19.21%,sdhD;sdhC;sdhA;sdhB;ilvI
prerank,path:ppu02060,-0.722373909968004,-1.319437833270507,0.1373913043478261,0.36267979858431193,0.998,2/6,2.17%,ptsH;ptsN
prerank,path:ppu00550,-0.5626060377200464,-1.3174509857759382,0.12704174228675136,0.35306106444889285,0.998,10/18,29.24%,murC;mrdB;murD;ftsW;mraY;dacA;murG;dacB;murA;murF
prerank,path:ppu00220,-0.5902385259755271,-1.3168722380571132,0.14858096828046743,0.3405818957648415,0.998,6/16,5.10%,argA;argC;argH;argG;carB;argB
