Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,path:ppu00550,0.8431389386011933,1.9500698082777108,0.0,0.007815649908507274,0.006,12/18,10.47%,murE;murF;ftsW;murD;mraY;mrcA;murC;murB;murG;mtgA;ddlA;ftsI
prerank,path:ppu00290,0.8751811811606255,1.7920519836940227,0.0049504950495049506,0.07489997828986136,0.102,7/9,7.28%,leuC;leuB;leuA;ilvC;ilvD;ilvE;ilvI
prerank,path:ppu00970,0.710369568457337,1.7116528874336696,0.019662921348314606,0.15544459262475577,0.269,1/22,0.13%,selA
prerank,path:ppu03018,-0.8443984164910766,-1.699493448590798,0.0,0.03993782815550543,0.047,3/12,2.13%,groL;dnaK;eno
prerank,path:ppu00910,0.8650888736333284,1.6163257746099444,0.017857142857142856,0.2969946965232764,0.544,2/7,3.59%,glnA;arcC
prerank,path:ppu01502,0.8746266613189053,1.5978648665561825,0.035046728971962614,0.2738082684613715,0.59,4/5,8.21%,murF;mraY;murG;ddlA
prerank,path:ppu00270,0.679993494438896,1.5795963710951755,0.037142857142857144,0.2611729677759514,0.639,5/20,6.70%,metE;metB;mtnA;metK;ilvE
prerank,path:ppu00920,-0.716967843328283,-1.5561609843280728,0.011075949367088608,0.2640787004568114,0.453,6/17,5.94%,cysD;cysA;cysW;cysK;cysH;cysI
prerank,path:ppu00020,-0.766319931179535,-1.540697366156389,0.01818181818181818,0.21300175016269562,0.525,7/12,16.81%,sucA;mdh;sdhC;sucC;sdhD;aceE;sucD
prerank,path:ppu00450,0.8187486339499218,1.538471398416128,0.029925187032418952,0.2977390441336104,0.732,3/7,0.80%,metE;selA;metB
prerank,path:ppu03420,0.7760014760396263,1.5209058147184658,0.056372549019607844,0.2886905684954874,0.764,3/8,9.14%,uvrA;uvrD;uvrB
prerank,path:ppu00630,0.7798574491513798,1.477266657094238,0.06635071090047394,0.3315861840812993,0.85,2/8,1.73%,glnA;aceA
prerank,path:ppu01210,0.6101164370160472,1.4695589515679714,0.08196721311475409,0.3126259963402909,0.864,7/20,7.28%,leuC;leuB;leuA;ilvC;ilvD;ilvE;ilvI
prerank,path:ppu01230,0.4892215307388014,1.4694586107003431,0.02181818181818182,0.28420545121844626,0.864,14/72,7.28%,metE;glnA;leuC;metB;leuB;leuA;ilvC;metK;prs;ilvD;asnB;trpD;ilvE;ilvI
prerank,path:ppu02040,-0.6072003726362707,-1.4682385502228543,0.03686635944700461,0.3834846560645981,0.83,18/34,31.81%,fliL;rpoD;fliM;fliN;fliP;flgM;flgJ;fliK;fliT;fliD;fliJ;flgL;rpoN;fliQ;flgH;fliO;motB;flgD
prerank,path:ppu00470,0.7483312019410864,1.4535118831310596,0.09975062344139651,0.2861396272059052,0.888,6/7,22.49%,murD;ddlA;alr;dauA;murI;dadX
prerank,path:ppu02030,-0.7439619361701411,-1.4484485305982924,0.04451510333863275,0.3716663191614383,0.878,2/10,4.21%,fliM;fliN
prerank,path:ppu00710,-0.7389925717302462,-1.4403293204213703,0.06896551724137931,0.33526040778158983,0.89,6/10,14.24%,mdh;gapA;pgk;tpiA;tal;ppc
prerank,path:ppu00670,0.6835441294593958,1.3727391879775723,0.12406947890818859,0.39639373125711247,0.953,3/9,12.02%,metF;metK;betB
prerank,path:ppu02060,-0.7749573971688288,-1.3460925043785184,0.09838998211091235,0.6356285828014697,0.988,5/6,20.76%,ptsH;ptsN;fruK;fruA;fruB
prerank,path:ppu03010,0.4622754419219368,1.3365032931809546,0.08275862068965517,0.43804856868157427,0.977,23/54,19.96%,rplI;rplS;rpsF;rpsR;rplE;rpmI;rplT;rplN;rplA;rpsC;rpsJ;rplK;rpmC;rplO;rplP;rplW;rplX;rpsP;rpmG;rpmD;rplR;rplV;rpsQ
prerank,path:ppu00785,-0.7913315899071951,-1.3270808713633426,0.11992619926199262,0.6353374907595201,0.993,3/5,17.30%,sucA;aceE;lipB
prerank,path:ppu00660,0.728253194298593,1.323680348353172,0.20493827160493827,0.4341159321403095,0.982,3/6,7.28%,leuC;leuB;ilvI
prerank,path:ppu02025,-0.7944458626275674,-1.319602575444613,0.14912280701754385,0.5923658366556939,0.996,3/5,13.04%,csrA;pabA;flgM
prerank,path:ppu01100,0.3613047258098625,1.318478718488601,0.0,0.41455509723040657,0.985,64/400,10.47%,metE;selA;glnA;leuC;metF;bioC;metB;leuB;leuA;glpD;murE;aceA;murF;ushA;cyoE;bioF;murD;mraY;bioA;mtnA;suhB;ilvC;arcC;ppsA;mrcA;metK;nadA;murC;prs;bioB;bioD;murB;hemF;purD;ilvD;glpK;cyoA;ribD;asnB;thiL;trpD;murG;accC;ilvE;selD;adhP;bglX;apt;ilvI;mtgA;gmhB;ddlA;purL;proA;astD;puuE;cyoB;pncB;trpB;ispE;purT;anmK;serB;ftsI
prerank,path:ppu00680,-0.6691663594972944,-1.3153456972037632,0.12227805695142378,0.5477187861326459,0.996,3/11,5.86%,pta;eno;mdh
prerank,path:ppu01110,0.38877229616655146,1.304529335359798,0.046511627906976744,0.4145359412257289,0.987,27/184,7.28%,metE;glnA;leuC;metB;leuB;leuA;glpD;aceA;ushA;cyoE;suhB;ilvC;arcC;ppsA;metK;prs;hemF;purD;ilvD;ribD;asnB;trpD;accC;ilvE;adhP;bglX;ilvI
prerank,path:ppu02010,-0.48699198474331346,-1.2663252463336305,0.1463768115942029,0.6697551552831421,1.0,13/49,17.83%,cysA;cysW;rbsD;argT;gltK;rbsC;pstS;pstA;hisP;artJ;metQ;lptB;msbA
prerank,path:ppu00010,-0.57107824564126,-1.1924441656824623,0.2625607779578606,0.8892279697480903,1.0,5/14,10.87%,eno;pyk;gapA;pgk;tpiA
prerank,path:ppu01200,-0.4577839465902968,-1.184159968193417,0.22358346094946402,0.8531773399373908,1.0,16/47,16.81%,pta;eno;cysK;pyk;sucA;mdh;gapA;sdhC;sucC;sdhD;pgk;tpiA;tal;ppc;aceE;sucD
prerank,path:ppu00780,0.5763130348611887,1.1733017593001527,0.28463476070528965,0.6459489915123697,1.0,5/11,4.70%,bioC;bioF;bioA;bioB;bioD
prerank,path:ppu01120,-0.40788962383279226,-1.1640093807033896,0.20709219858156028,0.8647762382243115,1.0,26/98,17.26%,cysD;dapB;pta;eno;cysK;cysH;pyk;sucA;cysG;mdh;cysI;gapA;sdhC;dapD;sucC;sdhD;pgk;tpiA;asd;tal;cysQ;ppc;aceE;sucD;patD;lysC
prerank,path:ppu00770,0.5539711512255688,1.1457458812454389,0.29949238578680204,0.6720773337990947,1.0,4/10,7.28%,ilvC;ilvD;ilvE;ilvI
prerank,path:ppu00250,0.48618124830325554,1.135845390430578,0.29838709677419356,0.6593152001984928,1.0,2/18,5.86%,glnA;asnB
prerank,path:ppu03430,0.49681950908173617,1.1237570424166603,0.3061797752808989,0.6501876376267717,1.0,4/16,10.60%,mutS;uvrD;recJ;holB
prerank,path:ppu03410,0.5458114449209253,1.1190221597193466,0.34974093264248707,0.6292190271038393,1.0,2/10,7.90%,recJ;ung
prerank,path:ppu00480,-0.6030886954778114,-1.116016590874875,0.37,0.9747003557189884,1.0,1/8,3.15%,pepA
